2.280000000000000000e+02,1.150000000000000000e+02,2.360000000000000000e+02,4.560000000000000000e+02,2.020000000000000000e+02,1.680000000000000000e+02,1.029000000000000000e+03,5.150000000000000000e+02,5.940000000000000000e+02,4.570000000000000000e+02
1.290000000000000000e+02,4.500000000000000000e+02,7.960000000000000000e+02,1.540000000000000000e+02,3.650000000000000000e+02,2.070000000000000000e+02,8.100000000000000000e+01,9.100000000000000000e+01,5.610000000000000000e+02,1.166000000000000000e+03
1.457000000000000000e+03,1.620000000000000000e+02,3.350000000000000000e+02,3.000000000000000000e+00,2.240000000000000000e+02,4.900000000000000000e+01,6.870000000000000000e+02,9.110000000000000000e+02,9.200000000000000000e+01,8.000000000000000000e+01
2.640000000000000000e+02,3.720000000000000000e+02,1.200000000000000000e+01,9.300000000000000000e+01,1.190000000000000000e+02,3.510000000000000000e+02,2.100000000000000000e+01,5.830000000000000000e+02,4.480000000000000000e+02,1.737000000000000000e+03
1.338000000000000000e+03,1.250000000000000000e+02,3.000000000000000000e+02,5.690000000000000000e+02,1.260000000000000000e+02,1.400000000000000000e+01,8.290000000000000000e+02,3.500000000000000000e+02,2.300000000000000000e+02,1.190000000000000000e+02
1.000000000000000000e+01,6.600000000000000000e+01,8.260000000000000000e+02,6.320000000000000000e+02,4.430000000000000000e+02,1.500000000000000000e+01,1.587000000000000000e+03,1.370000000000000000e+02,9.200000000000000000e+01,1.920000000000000000e+02
1.000000000000000000e+02,3.300000000000000000e+02,8.450000000000000000e+02,3.360000000000000000e+02,1.630000000000000000e+02,6.700000000000000000e+01,3.800000000000000000e+01,6.000000000000000000e+01,1.223000000000000000e+03,8.380000000000000000e+02
9.300000000000000000e+01,3.380000000000000000e+02,5.800000000000000000e+01,1.017000000000000000e+03,7.780000000000000000e+02,2.760000000000000000e+02,4.570000000000000000e+02,8.000000000000000000e+01,4.840000000000000000e+02,4.190000000000000000e+02
3.200000000000000000e+02,2.096000000000000000e+03,4.720000000000000000e+02,1.220000000000000000e+02,5.200000000000000000e+01,3.120000000000000000e+02,3.470000000000000000e+02,8.900000000000000000e+01,1.200000000000000000e+02,7.000000000000000000e+01
7.950000000000000000e+02,3.440000000000000000e+02,2.480000000000000000e+02,4.690000000000000000e+02,2.550000000000000000e+02,2.460000000000000000e+02,2.300000000000000000e+01,2.150000000000000000e+02,5.160000000000000000e+02,8.890000000000000000e+02
